[contrast] 前景 token × 背景 token（宿主真值快照见脚本头部注释）
   ✔ light dc-text     on dc-layer-1  17.85  (text)
   ✔ light dc-text-2   on dc-layer-1   7.58  (text)
   ✔ light dc-text-3   on dc-layer-1   5.20  (text)
   ✔ light dc-dim      on dc-layer-1   6.80  (text)
   ✔ light dc-text     on dc-layer-2  17.85  (text)
   ✔ light dc-text-3   on dc-layer-2   5.20  (text)
   ✔ light dc-dim      on dc-layer-2   6.80  (text)
   ✔ light dc-up       on dc-layer-1   4.96  (text)
   ✔ light dc-down     on dc-layer-1   5.32  (text)
   ✔ light dc-warn     on dc-layer-1   5.21  (text)
   ✔ light dc-danger   on dc-layer-1   4.83  (text)
   ✔ light dc-success  on dc-layer-1   5.07  (text)
   ✔ light dc-info     on dc-layer-1   5.07  (text)
   ✔ light dc-track    on dc-layer-1   1.53  (ui)
   ✔ light dc-border   on dc-layer-1   1.23  (ui)
   ✔ dark  dc-text     on dc-layer-1  15.03  (text)
   ✔ dark  dc-text-2   on dc-layer-1  10.42  (text)
   ✔ dark  dc-text-3   on dc-layer-1   8.77  (text)
   ✔ dark  dc-dim      on dc-layer-1   9.84  (text)
   ✔ dark  dc-text     on dc-layer-2  13.34  (text)
   ✔ dark  dc-text-3   on dc-layer-2   7.79  (text)
   ✔ dark  dc-dim      on dc-layer-2   8.74  (text)
   ✔ dark  dc-up       on dc-layer-1   4.54  (text)
   ✔ dark  dc-down     on dc-layer-1   6.10  (text)
   ✔ dark  dc-warn     on dc-layer-1   8.84  (text)
   ✔ dark  dc-danger   on dc-layer-1   4.54  (text)
   ✔ dark  dc-success  on dc-layer-1   7.78  (text)
   ✔ dark  dc-info     on dc-layer-1   7.78  (text)
   ✔ dark  dc-track    on dc-layer-1   1.89  (ui)
   ✔ dark  dc-border   on dc-layer-1   1.38  (ui)

[contrast] 全部达标 ✅

